Code,Description,Declarable
2009815990,Other,True
2009819910,Powdered,True
2009819990,Other,True
2009891910,Powdered,True
2009891990,Other,True
2009893521,Apricot juice,False
2009893541,Blueberry juice,False
2009893551,Other,False
2009893811,Apricot juice,False
2009893821,Blueberry juice,False
2009893891,Other,False
2009896310,Powdered,True
2009896390,Other,True
2009896910,Powdered,True
2009896990,Other,True
2009897310,Powdered,True
2009897390,Other,True
2009897911,Apricot juice,False
2009897930,"Frozen acerola juice concentrate :
 
-|with a Brix value of more than 48|but not more than 67,
 
-|in immediate packings of a content of 50|litres or more
",True
2009897941,Blueberry juice,False
2009897985,"Acai berry juice concentrate: 
- of the species Euterpe oleracea, 
- frozen, 
- not sweetened, 
- not in powder form, 
- of a Brix value of 23 or more but not more than 32, 
in immediate packings of a content of 10kg or more",True
2009897991,Other,False
2009898611,Apricot juice,False
2009898621,Blueberry juice,False
2009898691,Other,False
2009898911,Apricot juice,False
2009898921,Blueberry juice,False
2009898991,Other,False
2009899720,Powdered,True
2009899790,Other,True
2009899915,Powdered,False
2009899992,Other,False
2009902920,Mixtures of citrus juices,True
2009902980,Other,True
2009905939,Mixtures of citrus juices,True
2009905990,Other,True
2009909420,Mixtures of citrus juices,True
2009909480,Other,True
2009909500,Mixtures of juices of tropical fruit,True
2009909620,Mixtures of citrus juices,True
2009909680,Other,True
2009909700,Mixtures of juices of tropical fruit,True
2009909820,Mixtures of citrus juices,True
2009909880,Other,True
2101129220,"Containing no milkfats, milk proteins, sucrose, isoglucose, glucose or starch or containing less than 1,5|% milkfat, 2,5|% milk proteins, 5|% sucrose or isoglucose, 5|% glucose or starch",True
2101129292,Other,False
2101129820,"Containing no milkfats, milk proteins, sucrose, isoglucose, glucose or starch or containing less than 1,5|% milkfat, 2,5|% milk proteins, 5|% sucrose or isoglucose, 5|% glucose or starch",True
2101129892,Other,False
2101209810,"Containing no milkfats, milk proteins, sucrose, isoglucose, glucose or starch or containing less than 1,5|% milkfat, 2,5|% milk proteins, 5|% sucrose or isoglucose, 5|% glucose or starch",True
2101209885,Other,False
2101301100,Roasted chicory,True
2101301900,Other,True
2101309100,Of roasted chicory,True
2101309900,Other,True
2102103100,Dried,True
2102103900,Other,True
2102201910,For feeding purpose,True
2102201990,Other,True
2105009100,3|% or more but less than 7|%,True
2105009900,7|% or more,True
2106905510,Containing 65|% or more by net weight of added cane or beet sugar of subheadings 1701 91 to 1701 99,True
2106905590,Other,True
2106905910,Containing 70|% or more by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose,True
2106905992,Other,False
2106909815,Erythritol in blends with less than 10% of other products,True
2106909826,Containing|26|% or more by weight of milkfat,False
2106909842,Other,False
2201101100,Not carbonated,True
2201101900,Other,True
2202991511,Containing sugar (sucrose or invert sugar),False
2202991591,Other,False
2202991911,Containing sugar (sucrose or invert sugar),False
2202991991,Other,False
2202999510,Fruit juice or vegetable juice diluted with water or aerated,True
2202999590,Other,True
2202999910,Fruit juice or vegetable juice diluted with water or aerated,True
2202999990,Other,True
2203000100,In bottles,True
2203000900,Other,True
2204101100,Champagne,True
2204101300,Cava,True
2204101500,Prosecco,True
2204109100,Asti spumante,True
2204109300,Other,True
2204210600,With a protected designation of origin (PDO),True
2204210700,With a protected geographical indication (PGI),True
2204210800,Other varietal wines,True
2204210900,Other,True
2204211210,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204211290,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204211310,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204211390,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204211710,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204211790,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204211810,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204211890,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204211910,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204211990,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204212210,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204212290,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204212310,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204212390,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204212410,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204212490,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204212610,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204212690,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204212710,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204212790,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204212810,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204212890,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204213110,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204213190,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204213210,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204213290,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204213410,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204213490,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204213610,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204213690,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204213710,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204213790,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204213810,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204213890,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204214310,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204214390,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204214410,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204214490,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204214610,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204214690,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204214710,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204214790,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204214810,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204214890,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204216110,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204216190,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204216210,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204216290,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204216610,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204216690,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204216710,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204216790,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204216810,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204216890,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204216910,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204216990,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204217110,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204217190,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204217410,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204217490,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204217610,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204217690,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204217710,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204217790,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204217810,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204217890,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204218210,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204218290,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204218410,Of an actual alcoholic strength by volume not exceeding 13|% vol,True
2204218490,Of an actual alcoholic strength by volume exceeding 13|% vol but not exceeding 15|% vol,True
2204218610,Of an actual alcoholic strength by volume exceeding 15|% vol but not exceeding 18|% vol,True
2204218690,Of an actual alcoholic strength by volume exceeding 18|% vol but not exceeding 22|% vol,True
2204218695,Of an actual alcoholic strength by volume exceeding 22|%|vol,True
2204218710,Of an actual alcoholic strength by volume exceeding 15|% vol but not exceeding 18|% vol,True
2204218790,Of an actual alcoholic strength by volume exceeding 18|% vol but not exceeding 22|% vol,True
2204218795,Of an actual alcoholic strength by volume exceeding 22|%|vol,True
2204218810,Of an actual alcoholic strength by volume exceeding 15|% vol but not exceeding 18|% vol,True
